seqnames	start	end	width	strand	ratio	read.corrected
16	60000	64999	5000	*	0.442345013119405	0.442345013119405
16	65000	69999	5000	*	0.576124213633234	0.576124213633234
16	70000	74999	5000	*	0.58351077652832	0.58351077652832
16	75000	79999	5000	*	0.57928491024811	0.57928491024811
16	80000	84999	5000	*	0.578423414042985	0.578423414042985
16	85000	89999	5000	*	0.921950700190499	0.921950700190499
16	90000	94999	5000	*	0.959376969166568	0.959376969166568
16	95000	99999	5000	*	0.99773561653724	0.99773561653724
16	100000	104999	5000	*	0.877965493661288	0.877965493661288
16	105000	109999	5000	*	0.903529042158295	0.903529042158295
16	110000	114999	5000	*	0.88887968600175	0.88887968600175
16	115000	119999	5000	*	0.95409048036686	0.95409048036686
16	120000	124999	5000	*	0.948201243097687	0.948201243097687
16	125000	129999	5000	*	0.966072721645416	0.966072721645416
16	130000	134999	5000	*	0.911012775973475	0.911012775973475
16	135000	139999	5000	*	0.893895865559798	0.893895865559798
16	140000	144999	5000	*	0.891523506527744	0.891523506527744
16	145000	149999	5000	*	0.935552702095992	0.935552702095992
16	150000	154999	5000	*	0.903656554451494	0.903656554451494
16	155000	159999	5000	*	0.938175573952917	0.938175573952917
16	160000	164999	5000	*	0.92870488284466	0.92870488284466
16	165000	169999	5000	*	0.922787776828311	0.922787776828311
16	170000	174999	5000	*	0.957734478481599	0.957734478481599
16	175000	179999	5000	*	0.889332754620277	0.889332754620277
16	180000	184999	5000	*	0.967612620506662	0.967612620506662
16	185000	189999	5000	*	0.904334638419944	0.904334638419944
16	190000	194999	5000	*	0.879820993093243	0.879820993093243
16	195000	199999	5000	*	0.895071337730917	0.895071337730917
16	200000	204999	5000	*	0.935036348187191	0.935036348187191
16	205000	209999	5000	*	0.907402816193068	0.907402816193068
16	210000	214999	5000	*	0.871105746809705	0.871105746809705
16	215000	219999	5000	*	0.854054882343992	0.854054882343992
16	220000	224999	5000	*	0.786563432280536	0.786563432280536
16	225000	229999	5000	*	0.920890005251539	0.920890005251539
16	230000	234999	5000	*	0.904125450161129	0.904125450161129
16	235000	239999	5000	*	0.93146825866842	0.93146825866842
16	240000	244999	5000	*	0.903424206405775	0.903424206405775
16	245000	249999	5000	*	0.883318459005313	0.883318459005313
16	250000	254999	5000	*	0.88021958714541	0.88021958714541
16	255000	259999	5000	*	0.92197888302958	0.92197888302958
16	260000	264999	5000	*	0.945475499338209	0.945475499338209
16	265000	269999	5000	*	0.982953362193596	0.982953362193596
16	270000	274999	5000	*	0.938845266165906	0.938845266165906
16	275000	279999	5000	*	0.95327362130699	0.95327362130699
16	280000	284999	5000	*	0.925768505835433	0.925768505835433
16	285000	289999	5000	*	0.92396893409478	0.92396893409478
16	290000	294999	5000	*	0.944549985655229	0.944549985655229
16	295000	299999	5000	*	0.91064303151907	0.91064303151907
16	300000	304999	5000	*	0.945147602026104	0.945147602026104
16	305000	309999	5000	*	0.910819729315779	0.910819729315779
16	310000	314999	5000	*	0.906818335997118	0.906818335997118
16	315000	319999	5000	*	0.875380616657501	0.875380616657501
