chromosome	end	length	major_is_allele_a	major_readcount	minor_readcount	readcount	start	allele_ratio	major_depth	minor_depth	total_depth	major_0	minor_0	major_1	minor_1	major_2	minor_2	major_raw	minor_raw	major_depth_e	minor_depth_e	total_depth_e	major_e	minor_e	total_e	major_raw_e	minor_raw_e	major_diff	minor_diff	prob_is_outlier_total	prob_is_outlier_allele	total_likelihood_mask	allele_likelihood_mask
20	124939	59009.0243327	1	1075	442	11165	60000	0.291364535267	0.134079745483	0.0551286023289	0.189208347812	1	1	1	0	2	1	1.63791183982	0.663516262842	0.129157152729	0.0481313917135	0.177288544442	7621.43756811	2840.18646479	10461.6240329	1.57715841161	0.577158411614	1	1	0.00241251136643	0.00245314907473	1	1
20	223477	100344.483475	1	4310	4104	26061	124939	0.487758497742	0.133036967535	0.126678356093	0.259715323628	1	1	1	1	2	2	1.62504213103	1.54656571363	0.129157152729	0.129157152729	0.258314305457	12960.2077777	12960.2077777	25920.4155553	1.57715841161	1.57715841161	1	1	0.0018937463031	0.00221812039296	1	1
20	500000	305646.805303	1	5114	1867	48221	223477	0.267440194814	0.115573811841	0.0421932551245	0.157767066965	1	1	1	0	2	1	1.40951616157	0.503871391355	0.129157152729	0.0481313917135	0.177288544442	39476.4711136	14711.206112	54187.6772256	1.57715841161	0.577158411614	1	1	0.00393915785849	0.00212090909319	1	1
20	1000000	560087.690154	1	12797	4911	90685	500000	0.277332279196	0.1170086817	0.0449034645485	0.161912146248	1	1	1	0	2	1	1.42722497221	0.537320129016	0.129157152729	0.0481313917135	0.177288544442	72339.3313387	26957.8000087	99297.1313474	1.57715841161	0.577158411614	1	1	0.00295763834508	0.00212101264582	1	1
20	1211419	229346.338214	1	3040	1145	40856	1000000	0.273596176822	0.129402347693	0.0487387131937	0.178141060887	1	1	1	0	2	1	1.58018454752	0.584653823845	0.129157152729	0.0481313917135	0.177288544442	29621.7200325	11038.7584426	40660.4784751	1.57715841161	0.577158411614	1	1	0.00189160825189	0.00212533010664	1	1
20	1212056	307.892572835	1	0	0	101	1211419	0.0	0.328036493606	0.0	0.328036493606	1	1	1	1	2	2	4.03167828758	-0.016867378585	0.129157152729	0.129157152729	0.258314305457	39.7665280537	39.7665280537	79.5330561074	1.57715841161	1.57715841161	1	1	0.01	0.01	0	0
20	1500000	311487.789079	1	11040	6824	109189	1212056	0.381997313032	0.216634801598	0.133905424466	0.350540226064	1	1	2	1	3	2	2.65678602354	1.63576041273	0.210182913744	0.129157152729	0.339340066473	65469.4111043	40230.8759472	105700.287051	2.57715841161	1.57715841161	1	1	0.00200416848024	0.00211760016803	1	1
20	2000000	535669.859947	1	10613	7013	173859	1500000	0.397878134574	0.195426909798	0.129136805654	0.324563715452	1	1	2	1	3	2	2.39504344273	1.57690729303	0.210182913744	0.129157152729	0.339340066473	112588.651968	69185.5939133	181774.245882	2.57715841161	1.57715841161	1	1	0.00210638678711	0.00230196174899	1	1
20	2455733	503880.63616	1	21553	15895	162248	2000000	0.424455244606	0.185323623834	0.136673270582	0.321996894416	1	1	2	1	3	2	2.27035117404	1.66992048825	0.210182913744	0.129157152729	0.339340066473	105907.100287	65079.7882816	170986.888569	2.57715841161	1.57715841161	1	1	0.00219740311681	0.00361188229342	1	1
20	2500000	45561.9095665	1	816	754	12423	2455733	0.48025477707	0.141714756161	0.130947213414	0.272661969575	1	1	1	1	2	2	1.73214126244	1.59925090001	0.129157152729	0.129157152729	0.258314305457	5884.64651249	5884.64651249	11769.293025	1.57715841161	1.57715841161	1	1	0.00223694397723	0.00242685787825	1	1
