sample	from	to	cn	type
DO1007	1	2	1	reference
DO1007	2	3	1	reference
DO1007	429	3	0	aberrant
DO1007	3	4	1	reference
DO1007	247	4	0	aberrant
DO1007	4	5	1	reference
DO1007	5	6	1	reference
DO1007	357	6	0	aberrant
DO1007	6	7	1	reference
DO1007	53	7	0	aberrant
DO1007	7	8	1	reference
DO1007	243	8	0	aberrant
DO1007	8	9	1	reference
DO1007	8	10	0	aberrant
DO1007	9	10	1	reference
DO1007	10	11	1	reference
DO1007	11	12	1	reference
DO1007	239	12	0	aberrant
DO1007	12	13	1	reference
DO1007	13	14	1	reference
DO1007	14	15	1	reference
DO1007	444	15	0	aberrant
DO1007	15	16	1	reference
DO1007	235	16	0	aberrant
DO1007	16	17	1	reference
DO1007	466	17	1	loose
DO1007	17	18	2	reference
DO1007	128	18	0	aberrant
DO1007	19	20	1	reference
DO1007	21	22	1	reference
DO1007	78	22	0	aberrant
DO1007	22	23	1	reference
DO1007	23	24	1	reference
DO1007	319	24	1	aberrant
DO1007	24	25	1	reference
DO1007	26	27	1	reference
DO1007	34	27	1	aberrant
DO1007	27	28	2	reference
DO1007	27	29	0	aberrant
DO1007	28	29	2	reference
DO1007	29	30	2	reference
DO1007	272	30	0	aberrant
DO1007	30	31	1	reference
DO1007	31	32	1	reference
DO1007	32	33	1	reference
DO1007	268	33	0	aberrant
DO1007	33	34	1	reference
DO1007	467	34	1	loose
DO1007	34	35	1	reference
DO1007	31	36	0	aberrant
DO1007	35	36	1	reference
DO1007	36	37	1	reference
DO1007	264	37	0	aberrant
DO1007	37	38	1	reference
DO1007	38	39	1	reference
DO1007	209	39	0	aberrant
DO1007	39	40	0	reference
DO1007	200	40	1	aberrant
DO1007	40	41	1	reference
DO1007	261	41	0	aberrant
DO1007	30	42	1	aberrant
DO1007	41	42	1	reference
DO1007	42	43	2	reference
DO1007	43	44	1	reference
DO1007	42	45	0	aberrant
DO1007	44	45	1	reference
DO1007	45	46	1	reference
DO1007	205	46	0	aberrant
DO1007	46	47	1	reference
DO1007	47	48	1	reference
DO1007	433	48	0	aberrant
DO1007	48	49	1	reference
DO1007	207	49	1	aberrant
DO1007	50	51	1	reference
DO1007	101	51	0	aberrant
DO1007	51	52	1	reference
DO1007	52	53	1	reference
DO1007	99	53	0	aberrant
DO1007	53	54	1	reference
DO1007	54	55	1	reference
DO1007	56	57	1	reference
DO1007	57	58	1	reference
DO1007	19	59	0	aberrant
DO1007	58	59	1	reference
DO1007	60	61	1	reference
DO1007	89	61	1	aberrant
DO1007	61	62	1	reference
DO1007	62	63	1	reference
DO1007	311	63	0	aberrant
DO1007	63	64	1	reference
